#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pkinase              PF00069.24 URDJ_3927            -            4.8e-45  153.9   0.0   6.5e-45  153.4   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 URDJ_3927            -            6.3e-45  153.4   0.0     9e-45  152.9   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  URDJ_3927            -            2.3e-37  126.4  53.3   1.6e-08   34.0   5.7   9.8   8   2   2  10  10   1   1 Leucine rich repeat
LRR_4                PF12799.6  URDJ_3927            -            2.7e-34  116.4  49.3   8.5e-06   25.9   0.2  11.8   8   2   4  12  12   0   0 Leucine Rich repeats (2 copies)
LRR_1                PF00560.32 URDJ_3927            -            4.2e-16   56.8  36.4       4.2    8.2   0.3  16.2  16   1   0  16  16   0   0 Leucine Rich Repeat
LRRNT_2              PF08263.11 URDJ_3927            -            2.2e-13   50.1   0.9   4.6e-13   49.1   0.9   1.6   1   0   0   1   1   1   1 Leucine rich repeat N-terminal domain
Pkinase              PF00069.24 URDJ_38212           -            2.3e-43  148.3   0.0   3.2e-43  147.9   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 URDJ_38212           -            1.2e-39  136.0   0.0   1.7e-39  135.6   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  URDJ_38212           -            1.2e-34  117.7  61.6   5.4e-08   32.4   6.8   9.2   4   3   3   9   9   2   2 Leucine rich repeat
LRR_4                PF12799.6  URDJ_38212           -            5.1e-30  102.8  52.8   2.5e-05   24.4   2.6  11.6   8   3   3  12  12   0   0 Leucine Rich repeats (2 copies)
LRRNT_2              PF08263.11 URDJ_38212           -            5.9e-11   42.4   0.1   1.2e-10   41.4   0.1   1.6   1   0   0   1   1   1   1 Leucine rich repeat N-terminal domain
LRR_1                PF00560.32 URDJ_38212           -            5.5e-05   23.0  66.4       2.7    8.8   0.5  16.9  20   1   0  20  20   0   0 Leucine Rich Repeat
Pkinase              PF00069.24 WTKZ_10280           -            8.4e-44  149.8   0.0   1.3e-43  149.2   0.0   1.2   1   0   0   1   1   1   1 Protein kinase domain
